Schema,Table,Type,Column,DataType,Length,Nullable
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_COUNTRY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_CBSA_NAME,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_COUNTY,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_LATITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_LONGITUDE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_VERIFIED_ADDRESS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_EMPLOYEE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_EMPLOYEES,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_REVENUE_RANGE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_REVENUE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_PHONE,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_COMPANY_FAX,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_LINKEDIN_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_FACEBOOK_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TWITTER_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_YELP_URL,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_DOMAIN_RANK,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_KEYWORDS,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TOP_KEYWORDS,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NUM_KEYWORDS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EMPLOYEE_GROWTH_1YR,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EMPLOYEE_GROWTH_2YR,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_GROWTH,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_EMPLOYEE_GROWTH,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_REVENUE_GROWTH,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_PERCENT_EMPLOYEE_GROWTH,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_PERCENT_REVENUE_GROWTH,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAME_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_URL_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_ADDRESS_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_PHONE_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EMPLOYEES_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_REVENUE_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_INDUSTRY_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC_CONFIDENCE_SCORE,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_ES_INDUSTRIES_TOP3_CONFIDENCE_SCORES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAICS_TOP3_CONFIDENCE_SCORES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_SIC_TOP3_CONFIDENCE_SCORES,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IDS_MERGED,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_NAMES_OTHER,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_URL_STATUS,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_URLS_ALT,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_URL_LAST_UPDATED,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_INACTIVE_FLAG,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_EIN,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_SMALL_BUSINESS,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_IS_PUBLIC,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TICKER,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_TICKERS_ALT,STRING,0,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_HAS_MOBILE_APP,DOUBLE,-,YES
alteryx,alteryx_cmd_company_enhance_11_03_25,MANAGED,ZI_C_CURRENCY_CODE,STRING,0,YES
